# source=Family 1, view=Singularity, params=baseline_3dof, exported=2026-06-23, key=|det J| floor 0.02, 46x46 grid
x,y,reachable,detJ
-0.3587,0.2668,0,
-0.3587,0.2962,0,
-0.3587,0.3255,0,
-0.3587,0.3549,0,
-0.3587,0.3842,0,
-0.3587,0.4136,0,
-0.3587,0.4429,0,
-0.3587,0.4723,0,
-0.3587,0.5016,0,
-0.3587,0.5310,0,
-0.3587,0.5603,0,
-0.3587,0.5897,0,
-0.3587,0.6190,0,
-0.3587,0.6484,0,
-0.3587,0.6777,0,
-0.3587,0.7071,0,
-0.3587,0.7364,0,
-0.3587,0.7658,0,
-0.3587,0.7951,0,
-0.3587,0.8245,0,
-0.3587,0.8538,0,
-0.3587,0.8832,0,
-0.3587,0.9125,0,
-0.3587,0.9418,0,
-0.3587,0.9712,0,
-0.3587,1.0005,0,
-0.3587,1.0299,0,
-0.3587,1.0592,0,
-0.3587,1.0886,0,
-0.3587,1.1179,0,
-0.3587,1.1473,0,
-0.3587,1.1766,0,
-0.3587,1.2060,0,
-0.3587,1.2353,0,
-0.3109,-0.0853,0,
-0.3109,-0.0560,1,0.00998
-0.3109,-0.0266,1,0.00808
-0.3109,0.0027,1,0.00591
-0.3109,0.0321,1,0.00348
-0.3109,0.0614,1,0.00082
-0.3109,0.0908,1,0.00204
-0.3109,0.1201,1,0.00504
-0.3109,0.1495,1,0.00815
-0.3109,0.1788,1,0.01130
-0.3109,0.2082,0,
-0.3109,0.2375,0,
-0.3109,0.2668,0,
-0.3109,0.2962,0,
-0.3109,0.3255,0,
-0.3109,0.3549,0,
-0.3109,0.3842,0,
-0.3109,0.4136,0,
-0.3109,0.4429,0,
-0.3109,0.4723,0,
-0.3109,0.5016,0,
-0.3109,0.5310,0,
-0.3109,0.5603,0,
-0.3109,0.5897,0,
-0.3109,0.6190,0,
-0.3109,0.6484,0,
-0.3109,0.6777,0,
-0.3109,0.7071,0,
-0.3109,0.7364,0,
-0.3109,0.7658,0,
